Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
*get_ipl_banner,2,static const char *get_ipl_banner(int show_ipl),7
windup,1,static void windup(void) {,2
multiplex_2_extended_types_s9_decode,1,double multiplex_2_extended_types_s9_decode(float value),4
foo801,1,void foo801(int p) {},1
base64_estimate_encode_size,1,static inline size_t base64_estimate_encode_size(size_t data_in_size),4
do_022,1,int do_022() { return 22; },1
sum_array,2,"double sum_array(double *p, int n) {",6
upper_gauss,2,"static int upper_gauss(int x, int y)",9
f4,1,double f4(void) {,3
q2,1,"int q2(int j, int a1, int a2, int a3, int a4, int a5, int a6)",4
Unknown,1,void,5
minl,3,"long minl(long *x,int n)",13
ft_iterative_power,3,"int ft_iterative_power(int nb, int power)",13
shift_negative,1,int shift_negative() { return -1 << 1; },1
foo620,1,void foo620() {},1
Unknown,1,void,5
nrf53_errata_59,1,static bool nrf53_errata_59(void),6
isInList,3,"static int isInList(int x, int n, int list[]) {",7
,12,inline int is_power_of_2 (int x) {,6
stop_logging,1,void stop_logging(void),4
rk31sdk_get_sdio_wifi_voltage,1,int rk31sdk_get_sdio_wifi_voltage(void),11
*langinfo_day_5,1,char *langinfo_day_5() {,3
f_65535x,1,int f_65535x(void) {return 65535; },1
pow,2,"int pow(int base, int n)",11
void,1,static inline void,4
Type_Description,1,static const char* Type_Description(void) {,15
testReturn,1,"long testReturn(long a, float b) {",3
exynos_pm_late_initcall,1,static inline int exynos_pm_late_initcall(void) { return 0; },1
is_any,3,static inline unsigned char is_any( const char c ),4
Unknown,3,long,11
prv_check_time_offset,20,"static int prv_check_time_offset(char * buffer,",38
nrf52_errata_136,1,static bool nrf52_errata_136(void),6
BGBDT_MsImaAdpcm_StereoBlockSizeFromSamples,1,int BGBDT_MsImaAdpcm_StereoBlockSizeFromSamples(int len),4
instr_util_swaph,1,unsigned int instr_util_swaph(unsigned int val),4
audio_exit,1,void audio_exit( void ),3
foo059,1,void foo059() {},1
sum2recur,3,"long sum2recur(int n,int m) {",4
ft_strncmp,7,"int ft_strncmp(const char *str, const char *str2, size_t n)",19
psi_h_stable,1,"inline double psi_h_stable(double zeta, double zeta0){",4
test18_TestImporExport_targetInit__I,1,void test18_TestImporExport_targetInit__I() {,2
nseel_asm_2pp_end,1,void nseel_asm_2pp_end(void) {},1
char,1,unsigned char,5
irq_canonicalize,2,static inline int irq_canonicalize(int irq),4
f7b,1,int f7b(int *p) {,5
log_wakeup_reason,1,static inline void log_wakeup_reason(int irq) { },1
power,4,"float power(float a,int n)",9
hw_startmotor,1,void hw_startmotor(),4
fac,2,int fac(int n){,6
touch_buffer,2,"static inline void touch_buffer(const char* buffer, int size) {",7
target_gpio_led_get_count,1,unsigned int target_gpio_led_get_count(void ),4
toupper,2,int toupper(int ch),5
grad1,2,"float grad1( int hash, float x ) {",6
,1,__attribute__ ((used)),6
espconn_init,1,void espconn_init(),4
category_decode,2,"static int category_decode(int code, int size)",4
strncmp,6,"int strncmp(char *source, char *target, unsigned int length) {",7
clock_init,1,void clock_init() { },1
updateDisplay,1,void updateDisplay(int displayMode),4
decrypt_byte,1,"static int decrypt_byte(unsigned long* pkeys, const unsigned long* pcrc_32_tab)",10
francs,1,double francs(double unite),8
a2d,7,int a2d(char ch),11
modinv,4,"unsigned int modinv(unsigned int u, unsigned int v)",32
main,2,int main(void) {,3
NeedCarrierFrequency,1,int NeedCarrierFrequency() { return 0; },1
Unknown,1,void,5
char,1,unsigned char,5
longest_sequence_of_num,4,"int longest_sequence_of_num(int num,int num_to_find){",20
prepareDensityData,1,int prepareDensityData(void),6
foo257,1,void foo257(int p) {},1
yy_z_targetInit__I,1,void yy_z_targetInit__I() {,2
osfinit,1,void osfinit(void),4
celscon,1,float celscon( float fahr ),4
nthUglyNumber,8,int nthUglyNumber(int n) {,20
GetLockForDevice,1,char GetLockForDevice(char device) {,3
INT_Excep_MTU1_TGIB1,1,void INT_Excep_MTU1_TGIB1(void){ },1
mpool_calloc,1,void mpool_calloc() {},1
process_directory,1,void process_directory(const char* path) {,3
convert_to_metric,1,"double convert_to_metric(const int feet, const int inches)",12
gauss_map,3,"inline unsigned long gauss_map(unsigned long p, unsigned long n)",12
HelpItem88,1,int HelpItem88( void ),4
wrapped,2,extern int wrapped(int n) {,5
,3,"int Max (int a, int b, int c)",11
Unknown,1,int,5
foo062,1,void foo062() {},1
dotabc,1,"double dotabc(double a[3], double b[3], double c[3])",4
dly,2,void dly(int iCnt),4
main,1,int main(void) {,5
gravity_calculate_variational_acceleration,1,void gravity_calculate_variational_acceleration(void){,3
inv,1,int inv(int a) {,3
,1,void SPI1_TX_ISR (void),4
getLastLessThanIdx,6,"int getLastLessThanIdx(int* nums, int fromIdx, int toIdx, int target){",16
max_time_point,3,"double max_time_point(double* time, int size) {",9
llvm_fcmp_olt,1,"static inline int llvm_fcmp_olt(double X, double Y) { return X < Y ; }",1
nmea_ndeg2degree,1,double nmea_ndeg2degree(double val),6
do_137,1,int do_137() { return 137; },1
test14,1,void test14(void) {,14
sandbox_consume_fs_extension,1,"int sandbox_consume_fs_extension(const char *ext_token, char **path)",4
dtlbmiss_except,1,void dtlbmiss_except(){},1
is4ByteStarter,2,inline int is4ByteStarter(unsigned char c) {,3
_swift_slowDealloc,1,void _swift_slowDealloc(void) {},1
SuperLU_timer_,1,double SuperLU_timer_(void),15
unsignedshort_ignoring_unsignedchar,1,"unsigned short unsignedshort_ignoring_unsignedchar(unsigned short x, unsigned char y){return x;}",1
Unknown,1,__attribute__((noinline)),5
,1,void f_void2 (),4
uv__eventfd2,1,"int uv__eventfd2(unsigned int count, int flags) {",7
waitOneAndHalfBitTime,1,void waitOneAndHalfBitTime( void ),4
debuginator__floor,2,static float debuginator__floor(float v) {,6
fmadd,1,"int fmadd(int a, int b, int c)",4
sys_close,1,int sys_close(int fd),8
is_txt,3,int is_txt(char c),6
llz_shortenrg,2,"double llz_shortenrg(double *buf, double *win, int frame_len)",24
Unknown,1,void,5
is_ws_fragment,2,static int is_ws_fragment(unsigned char flags) {,3
xenbus_backend_device_register,1,static inline void xenbus_backend_device_register(void) {},1
mus_audio_systems,1,int mus_audio_systems(void) {return(0);},1
Curl_ssl_version,1,"size_t Curl_ssl_version(char *buffer, size_t size)",14
FtpInit,1,void FtpInit(void),4
int,1,unsigned int,5
foo172,1,void foo172(int p) {},1
SquareSum,1,"int SquareSum(int _a,int b){",10
SPUplayCDDAchannel,1,"int SPUplayCDDAchannel(short *pcm, int nbytes)",4
bool,10,static bool,9
fclamp,3,"static inline double fclamp(double value, double low, double high) {",3
ti_wcprice_start,1,int ti_wcprice_start(double const *options) {,4
HelpItem58,1,int HelpItem58( void ),4
main,1,int main(void),8
int,1,static inline int,5
lsame_,28,"int lsame_(char *ca, char *cb)",55
my_atoi,4,int my_atoi(char *s),12
replace,1,void replace(char *str),4
DSConvertZUnitsToYd,1,"inline double DSConvertZUnitsToYd(int z, int zUnits)",4
my_fabs,2,int my_fabs(int n),8
main,5,int main(void),10
,1,void fc116 (int n) { { typedef int (*b)[n]; { typedef int (*c)[n]; 0;} { typedef int (*d)[n]; 0;} ; typedef int (*e)[n]; goto a; 0;}; { typedef int (*f)[n]; { typedef int (*g)[n]; 0;}; { typedef int (*h)[n]; 0;}; ; typedef int (*i)[n]; 0;}; a:; typedef int (*j)[n]; 0; },1
null_scene_pause,1,static void null_scene_pause() {},1
foo540,1,void foo540() {},1
Unknown,5,void,9
Min,2,"static inline int Min(int x, int y)",7
script_finish_for_python,1,static inline void script_finish_for_python(void) {},1
Unknown,1,double,5
start_timer,1,static __inline void start_timer() {},1
gpio_is_valid,3,static inline int gpio_is_valid(int gpio),8
plat_gvideo_close,1,void plat_gvideo_close(void),3
hash_digest_init,1,static inline void hash_digest_init(void),3
c,1,static int c() {return 0;},1
int,2,static int,10
i8042_platform_init,1,static inline int i8042_platform_init(void),5
loop,1,static void loop() {,3
getClass,11,char getClass(int byte){,12
void,1,static void,5
get_real_time,1,double get_real_time(void) {,5
add5,1,int add5(int param1) {,3
c003,1,int c003(void) { return 0; },1
*fb_hGetExeName,1,"char *fb_hGetExeName( char *dst, int maxlen )",6
is_prime,3,static inline int is_prime(unsigned int n) {,6
phred64ToPhred,1,inline int phred64ToPhred( char p ),4
test5,1,"void test5(int i, char c){",3
ca7_cpu_resume,1,static inline void ca7_cpu_resume(void) {},1
iswhite,4,int iswhite(char c){,3
int,1,static int,5
int,5,static inline int,22
rk31sdk_get_sdio_wifi_voltage,1,int rk31sdk_get_sdio_wifi_voltage(void),9
main,2,int main(void) {,11
,1,void NOR_TX_DMA_COMPLETE_Interrupt (void),4
xxx,2,int xxx(int n),7
imprimirLista,1,void imprimirLista() {,3
do_238,1,int do_238() { return 238; },1
nrf52_errata_49,1,static bool nrf52_errata_49(void),6
Cast_Definition,1,static const char* Cast_Definition(void) {,6
endutxent,1,void endutxent(void),4
,1,static void emit_restore_stack (int size) {,4
memcmp,5,"int memcmp(char *p1, char *p2, int count)",23
*ae_api_name,1,static char *ae_api_name(void) {,3
__attribute__,1,"static void __attribute__((__warning__(""curl_easy_getinfo expects a pointer to char * for this info""))) __attribute__((__unused__)) __attribute__((__noinline__)) _curl_easy_getinfo_err_string(void) { __asm__(""""); }",1
initializeMatrix,3,void initializeMatrix(int matrix[5][5]),12
,2,"float max (float a, float b)",4
short,16,unsigned short,42
Unknown,1,int,5
SDK_mainloop,1,void SDK_mainloop(void),4
func4,1,void func4(),6
*generateData,1,void *generateData(void) {,3
delay,3,void delay(int x) {,5
cpuExit,1,void cpuExit(void) {,2
testfunc3,1,void testfunc3() {,14
setgrent,1,void setgrent(void) {,2
are_bytes_reversed,2,int are_bytes_reversed(void),15
isOperator,7,int isOperator(char c){,3
,1,void f_void_p2 (void),4
foo650,1,void foo650(int p) {},1
mhl_unpowered_detected_1k,1,static inline void mhl_unpowered_detected_1k(void) {},1
proc_call_7,1,"static void proc_call_7(int p0, int p1, int p2, int p3, int p4, int p5, int p6) {}",1
socket_can_read,1,int socket_can_read(int fd) {,8
f,2,int f() {,7
freq_ms2hard,1,unsigned long freq_ms2hard(unsigned int v),8
worker_process_init,1,void worker_process_init(int worker),4
blue,3,float blue(float value),9
mv_nand_block_randomized,3,static int mv_nand_block_randomized(unsigned int block_index),18
int,3,static int,9
RIFTIMEDOUT,1,int RIFTIMEDOUT(int status),4
ipv4_hdrlen,1,static inline int ipv4_hdrlen(struct iphdr *ip4),4
Timer_Init,1,void Timer_Init(),4
toUpperCase,1,char toUpperCase(char ch){,3
getNumberOfEvenlyDividingDigits,4,int getNumberOfEvenlyDividingDigits(int n) {,12
STEAM_GetLocalCopy,1,static inline void STEAM_GetLocalCopy( const char * fileName ) { },1
determinant2x2,1,"inline double determinant2x2(double a, double b, double c, double d)",4
netgear_readynas_init,1,static inline void netgear_readynas_init(void) {},1
factorial,2,int factorial(int x),10
Unknown,2,void,15
Unknown,1,void,4
crearSemaforo,1,int crearSemaforo(int key){,3
evdns_init,1,int evdns_init(void) {,3
main,2,int main() {,13
fixed_mod,2,"static inline int fixed_mod(int a, int b)",8
arg_const_int,1,"int arg_const_int(const int i, const int j) {",4
has_transparent_hugepage,1,static inline int has_transparent_hugepage(void),4
utf8_strlen,3,size_t utf8_strlen(char *s),9
Unknown,7,int,15
foo228,1,void foo228() {},1
my_strcmp,3,"int my_strcmp(const char *l, const char *r)",10
main,1,int main(){,9
polyh,2,"double polyh(double a[], double x, long degree) {",8
do_586,1,int do_586() { return 586; },1
sck_recv,2,"int sck_recv(int s, char* buffer, size_t size)",10
wait,1,void wait(int time),4
wdiv,1,"static inline unsigned short wdiv(unsigned short n, unsigned char d){",4
numThreads,1,size_t numThreads() {,3
transfer_boundary_from_device_a_,1,void transfer_boundary_from_device_a_,3
iReturn,1,"int iReturn(int i, int j, int n, int m ){",3
foo,1,"int foo(volatile int a, long b)",4
mpu6000SpiGyroInit,1,void mpu6000SpiGyroInit(void),3
cpu_core_thermal_limit,1,"int cpu_core_thermal_limit(int cluster, int limit_core) {return 0;}",1
mapif_itembound_ack,1,"int mapif_itembound_ack(int fd, int aid, int guild_id)",11
main,1,int main(void),4
mit_hrtf_availability,10,"unsigned int mit_hrtf_availability(int azimuth, int elevation, unsigned int samplerate, unsigned int diffused)",17
__attribute__,1,static void __attribute__((unused)) ffi_cparser_free(void),4
bsp_hw_init,1,void bsp_hw_init( void ),3
test,1,int test(),4
HelpItem28,1,int HelpItem28( void ),4
ssl_print_tmp_key,1,"int ssl_print_tmp_key(struct sslCheckOptions *options, SSL *s)",5
double,2,inline double,5
fact,2,int fact(int n),7
,7,static unsigned char hex_value (char c),13
foo362,1,void foo362(int p) {},1
answer_2,1,unsigned char answer_2(unsigned char arg0) {,3
mt_dcm_peri_off,1,void mt_dcm_peri_off(void),3
rand_int,2,int rand_int(int seed),13
Draw,1,static void Draw(void),3
mksym_u32,1,unsigned int mksym_u32() {return 0;},1
ret_long,1,long ret_long(long arg1) { return arg1; },1
pcount,2,"unsigned int pcount(unsigned int prime, unsigned int max) {",10
access,3,"static inline int access(const char * pathname,int mode) { long __res; __asm__ volatile (""int $0x80"" : ""=a"" (__res) : ""0"" (33),""b"" ((long)(pathname)),""c"" ((long)(mode))); do { if ((unsigned long)(__res) >= (unsigned long)(-125)) { __res = -1; } return (int) (__res); } while (0); }",1
langRomTypeSc3000Cart,1,"char* langRomTypeSc3000Cart() { return ""SC-3000 Cartridge""; }",1
*,1,char *,11
bnode_black_value,1,size_t bnode_black_value(size_t index),4
vied_bytepos_to_bitpos,1,static inline unsigned int vied_bytepos_to_bitpos(,5
void,1,static void,4
PassShort,1,extern short PassShort(short *sht) {,3
is_dead,3,"int is_dead(int *current, int length){",17
strUtf8Len,21,"int strUtf8Len(char *src, int isWide, int asEscapedUri)",61
__attribute__,2,"__attribute__((weak)) int kill(int pid, int sig)",6
rightChild,1,inline int rightChild(int i) { return 2 * i + 2; },1
ft_strcmp,5,"int ft_strcmp(const char *s1, const char *s2)",15
divide_evenly,3,int divide_evenly(long dividend),9
letsgo_get_y,1,inline int letsgo_get_y(int p) { return p & 31; },1
*str_expr_block,1,const char *str_expr_block(void),4
isgraph,1,static inline int isgraph(int c){return (unsigned)c-0x21 < 0x5e;},1
toascii,1,static inline int toascii(int c){return c & 0x7f;},1
PresentBuffer,1,void PresentBuffer(void) {,3
gcd,4,"size_t gcd(size_t m, size_t n) {",12
strcmp,3,"int strcmp(const char *s1, const char *s2)",8
hoge,1,int hoge(int a){,3
slib_close,1,void slib_close() {},1
kvmppc_reset_htab,1,static inline int kvmppc_reset_htab(int shift_hint),4
YabThreadRemoteSleep,1,void YabThreadRemoteSleep(unsigned int id),3
sig_default,1,void sig_default(int sig),4
CyBle_BasInit,1,void CyBle_BasInit(void),4
watchdog_reset,1,inline void watchdog_reset() { },1
sum,3,"unsigned int sum(unsigned int *llvm_cbe_a, unsigned int llvm_cbe_n) {",41
mkelvin_to_C,1,static inline double mkelvin_to_C(int mkelvin),4
len,1,"int len(char *arrname, char *type)",4
hieth_phy_reset,1,static void hieth_phy_reset(void),4
db_create_nomaccts_table_sql,1,const char * db_create_nomaccts_table_sql(void) {,11
unsignedlongint_ignoring_unsignedchar,1,"unsigned long int unsignedlongint_ignoring_unsignedchar(unsigned long int x, unsigned char y){return x;}",1
get_child_num,1,static int get_child_num(int cpus),5
*event_get_version,1,const char *event_get_version(void) {,3
strlen,2,size_t strlen(const char *s){,5
check,7,"int check(char* pw, size_t pw_len, char* str, size_t str_len)",32
Msp430TimerCapComP__4__Timer__overflow,1,static inline void Msp430TimerCapComP__4__Timer__overflow(void ),3
InetProtocol_hash,1,static inline unsigned char InetProtocol_hash(int protocol){,3
main,4,int main(void),11
sndq_len,1,int sndq_len(int fd) {,5
remove_die,4,"int remove_die(int* dice, int die)",14
accept_socket,2,"void accept_socket(int serverfd, int epollfd)",15
FAT_parse_directory_last,3,"size_t FAT_parse_directory_last(const char *directory, size_t dirlen)",10
lm_display_init,1,int lm_display_init(void),4
S3C2410_UFCON_RXC,2,static inline int S3C2410_UFCON_RXC(int fcon),7
pow3,1,static __inline double pow3(double val) { return val*val*val; },1
TestUnaryOperatorExpr,1,void TestUnaryOperatorExpr(void) {,13
*get_idstring,1,const char *get_idstring(void),4
float_equal,2,"static int float_equal( double a, double b )",4
check_phys_apicid_present,1,static inline int check_phys_apicid_present(int boot_cpu_physical_apicid),4
foo,1,void foo() {,7
array_non_zero,3,"static inline int array_non_zero( int *v, int i_count )",7
Unknown,1,void,4
palm27x_udc_init,1,"static inline void palm27x_udc_init(int vbus, int pullup, int vbus_inverted) {}",1
addThree,1,int addThree(int x) {,3
login_tty,6,int login_tty(int fd),31
arch_main,1,void arch_main(void) {,2
do_442,1,int do_442() { return 442; },1
CheckCoordL,9,"static inline unsigned short CheckCoordL(short slx0,short sly0,short slx1,short sly1)",21
__attribute__,7,static inline __attribute__((always_inline)) int ecbdic_isspace(char c),5
Strcasecmp,9,"int Strcasecmp(const char *a, const char *b)",13
Unknown,3,float,5
clear_bits,1,"long int clear_bits(long int value, long int flag) {",4
isatty,1,int isatty(int fildes),4
is_multiply_precedence_op,2,int is_multiply_precedence_op(const char *token),7
LerpAngle,3,"float LerpAngle(float a2, float a1, float frac)",12
max_bytes,1,static inline size_t max_bytes(size_t byte_count) {,4
limit,4,"int limit(int min, int val, int max) {",10
fact,2,int fact(int n){,4
square4,1,int square4(int i){,3
ft_str_is_numeric,5,int ft_str_is_numeric(char *str),19
Unknown,1,int,6
,1,void f12 (void) {},1
void,1,static void,3
hashStr,2,unsigned short hashStr(char* str) {,11
unused_internal_func2,1,static void unused_internal_func2(void) {},1
Unknown,4,int,25
toi_checksum_exit,1,static inline void toi_checksum_exit(void) { },1
nrf52_errata_77,1,static bool nrf52_errata_77(void),6
,4,static unsigned long _dictNextPower ( unsigned long size ),12
rng_rand,1,int rng_rand(int *mystate),11
*minictk_version,1,const char *minictk_version(),4
LightingFuncGGX_D,1,"float LightingFuncGGX_D(float dotNH, float roughness)",10
dmp_cm_finalize,1,int dmp_cm_finalize(void),4
up_remove_monitor,1,static inline void up_remove_monitor(const char *name),3
ordering_success,5,int ordering_success(int ordering),4
Unknown,1,int,5
dmax,2,"double dmax(double a, double b)",4
int,1,unsigned short int,5
isprint,2,inline static unsigned short isprint(char c) { return (c >= 0x20 && c <= 0x7E); },1
,6,"int strrindex (char *s, char *t) {",11
closeTCPConnection,1,int closeTCPConnection(int fd),6
read_dummy,1,static bool read_dummy() {,3
__attribute__,1,static __attribute__((noinline)) int,5
do_889,1,int do_889() { return 889; },1
foo269,1,void foo269(int p) {},1
,9,"int dyofyr (int day, int imon, int year)",17
binarysearch,6,"static int binarysearch(const char *x, int n, char k)",14
testFuncMultipleStatement,1,void testFuncMultipleStatement(void) {,11
fun_base_s,1,"int fun_base_s(int a, int b, int c)",4
JHKeyframeAnimationFunctionEaseInQuad,1,"double JHKeyframeAnimationFunctionEaseInQuad(double t,double b, double c, double d)",4
_lseek,1,"int _lseek(int file, int ptr, int dir) {",3
foo159,1,void foo159(int p) {},1
bioseq_protein_verifychar,22,int bioseq_protein_verifychar(char x) {,8
drag_cd_g1,6,double drag_cd_g1(double mach),15
in_range,2,"static inline bool in_range(int val, int min, int max)",4
check_websocket_response,2,int check_websocket_response(char* response),8
update_voice,1,void update_voice(void),4
sign,2,static int sign(double x) { return x < 0 ? -1 : 1; },1
,1,const char *event_get_version (void),5
Unknown,1,int,6
start,1,void start() {},1
alien_fixture_test_case_setup,1,void alien_fixture_test_case_setup() {,2
do_253,1,int do_253() { return 253; },1
Usage,1,void Usage(),3
_get_output_format,1,int _get_output_format(void),4
Unknown,1,int,4
wfaTrafficSendTo,1,"int wfaTrafficSendTo(int sock, char *buf, int bufLen, struct sockaddr *to)",8
Process_Name,1,static const char* Process_Name(void) {,3
bcd2int,2,static int bcd2int(int hex),6
,2,"double min_double (double a, double b)",4
kill,1,"int kill(pid_t pid, int sig) {",3
get_modules,1,void get_modules(){,3
Unknown,1,int,10
strcount_utf8,3,size_t strcount_utf8(const char *s),13
debug,1,void debug(char *info),6
logicStartScreen,1,void logicStartScreen(int delta){,3
C_Str_Description,1,static const char* C_Str_Description(void) {,5
foo326,1,void foo326(int p) {},1
hexValueScore,1,"int hexValueScore(const char* hexString, const char hexValue)",4
,1,int possibly_dupli_function (),4
void,1,static void,4
set_default_offline_state,1,static inline void set_default_offline_state(int cpu),3
strcmp,3,"int strcmp(const char *d, const char *s)",7
,1,static void vsi_core_close_user ( void ),4
my_str_islower,5,int my_str_islower(char *str),15
int,1,unsigned int,5
nrf91_errata_8,1,static bool nrf91_errata_8(void),6
void,2,static void,11
void,1,static inline void,5
Unknown,2,double,9
int,33,static int,61
networkSendCommand,1,"static void networkSendCommand(int major, int minor)",4
hiddenFunction,1,int hiddenFunction() {,3
do_653,1,int do_653() { return 653; },1
ktoh,1,unsigned int ktoh(unsigned int key) {,3
VIDSoftVdp1DrawEnd,1,void VIDSoftVdp1DrawEnd(void),3
set_nonblock,1,int set_nonblock(int fd),4
,1,void nop (void),3
void,1,static inline void,7
qcs_max,2,"int qcs_max(int a, int b)",4
drive_at_track0,1,int drive_at_track0(void) {,3
foo250,1,void foo250() {},1
foo689,1,void foo689() {},1
,1,void f (unsigned int m),6
,2,"int bit_get (char *data, int bit)",10
bottom_bit,1,static __inline__ int bottom_bit(unsigned int bits),13
test,3,"int test(int a, int b, int c)",6
function1,1,int function1(int *n),4
foo441,1,void foo441() {},1
__attribute__,1,"static void __attribute__((__warning__(""curl_easy_getinfo expects a pointer to double for this info""))) __attribute__((__unused__)) __attribute__((__noinline__)) _curl_easy_getinfo_err_double(void) { __asm__(""""); }",1
xrintf,2,__inline float xrintf(float x) { return x < 0 ? (int)(x - 0.5f) : (int)(x + 0.5f); },1
markovschoenfinkelcurryuarchalgorithm,5,int markovschoenfinkelcurryuarchalgorithm(void),19
stop_dct_timer,1,static __inline void stop_dct_timer() {},1
main,1,int main() {,3
do_588,1,int do_588() { return 588; },1
JugarSupervivencia,1,void JugarSupervivencia() {,3
rightChild,1,inline unsigned int rightChild(const unsigned int i) {,3
perf_measure_mutex,1,void perf_measure_mutex(void),4
Unknown,5,int,16
str2uint,4,"unsigned int str2uint(char* str, unsigned char len)",17
f,3,int f(char c),8
Unknown,1,int,5
CharacterIsDigit,2,int CharacterIsDigit(char ch),4
void,4,static void,10
console_level,1,static void console_level(int level),8
bits_length,3,int bits_length(int i) {,12
compute_square,1,int compute_square(int y ),8
nrf51_errata_50,1,static bool nrf51_errata_50(void),8
Concat_Definition,1,static const char* Concat_Definition(void) {,7
C_Float_Description,1,static const char* C_Float_Description(void) {,5
ret4,1,"int ret4(int a0, int a1, int a2, int a3, int a4, int a5) { return a4; }",1
outside_lstat,1,"int outside_lstat(const char *fname, struct stat *buf) {",3
,1,void fc36 (int n) { { typedef int (*b)[n]; { typedef int (*c)[n]; goto a; a:0;} { typedef int (*d)[n]; 0;} ; typedef int (*e)[n]; 0;}; { typedef int (*f)[n]; { typedef int (*g)[n]; 0;}; { typedef int (*h)[n]; 0;}; ; typedef int (*i)[n]; 0;}; ; typedef int (*j)[n]; 0; },1
eglCreatePixmapSurface,1,void eglCreatePixmapSurface(void) { return; },1
int,1,static int,6
do_798,1,int do_798() { return 798; },1
csub,1,int csub(int arg),4
should_ignore_case,3,"bool should_ignore_case(char *arg, bool orig)",13
test_minusOne,1,int test_minusOne(void) {,3
ILibEndThisThread,1,void ILibEndThisThread(),4
flag_def,4,char flag_def( unsigned int flag ),6
foo751,1,void foo751(int p) {},1
fRound,1,inline int fRound(float flt) {,3
console_getch,1,int console_getch(void),24
PeekAtLastError,1,int PeekAtLastError(void) {,3
find_char,3,"int find_char(char *array, char c)",15
Unknown,2,void,7
